file_path,Brain,Genotype,Type,Striatal.Subregion,Bif_ampl_local,Bif_ampl_remote,Branch_Order,Depth,Sum_EucDistance,Max_EucDistance,Fractal_Dim,Height,Length,N_bifs,N_branch,N_stems,N_tips,Partition_asymmetry,Sum_PathDistance,Max_PathDistance,Width,Terminal_degree,Bif_tilt_local,Bif_tilt_remote,Bif_torque_local,Bif_torque_remote,ABEL_All,BAPL_All,ABEL_Internal,BAPL_Internal,ABEL_Terminal,BAPL_Terminal,Balancing_Factor,Centripetal_Bias,Convexity
hTME16-1_04_xyz-8911-6281-314,hTME16-1,WT,D1,CPi,68.2661,68.0056,4,89.58,34292.7,124.729,1.04013,193.052,1463.87,14,33,5,19,0.47619,44195.2,149.656,124.09,1.32085,124.89,125.994,93.0273,98.9837,37.09846748,44.35424242,18.71272655,20.83,50.64585554,61.68789474,0.748611205,4.037897067,0.825396825
hTME16-1_04_xyz-9386-14519-199,hTME16-1,WT,D1,CPi,61.531,58.0829,3,79.45,47205.3,142.426,1.02591,206.53,1511.51,12,30,6,18,0.5,54933.5,173.424,119.59,1.23001,113.216,133.215,76.319,86.7846,45.0666426,50.37866667,17.6266944,18.7625,63.35994141,71.45611111,0.802495996,5.448529715,0.84
hTME16-1_04_xyz-9667-14145-209,hTME16-1,WT,D2,CPi,65.804,58.5851,4,100.92,36119.2,100.733,1.03234,131.699,1786.85,18,42,6,24,0.361111,46504.7,127.051,110.724,1.17632,127.064,123.728,78.5824,82.9849,35.82252503,42.5397619,13.0582934,14.30055556,52.89569875,63.71916667,0.738437081,3.843280646,0.850591716
hTME16-1_05_xyz-10402-10185-296,hTME16-1,WT,D1,CPi,83.1104,73.3968,6,61.35,11916.3,105.097,1.02982,119.52,883.693,12,29,5,17,0.520833,15683.4,118.728,72.09,1.32776,113.144,114.982,95.6944,83.8292,26.71063827,30.46758621,10.40022179,10.92,38.22387343,44.26588235,0.765366174,4.399555046,0.831024931
hTME16-1_05_xyz-3171-6420-286,hTME16-1,WT,D1,CPi,81.3862,60.74,6,93.62,50821.7,107.443,1.02921,163.959,2666.06,34,77,9,43,0.360224,62729.7,128.608,101.598,1.33497,109.968,129.354,97.6252,96.8903,30.59430058,34.61909091,14.82327905,15.92235294,43.06441064,49.40255814,0.780165468,4.770416736,0.785679012
hTME16-1_05_xyz-4341-6947-292,hTME16-1,WT,D2,CPi,73.065,66.786,7,101.78,33826.3,92.1146,1.02755,144.29,1893.6,26,56,4,30,0.393212,40933.3,115.481,86.7508,1.26753,121.849,119.247,87.0654,89.7844,29.77000847,33.80946429,9.477162987,9.933461538,47.35714122,54.502,0.78698588,4.960750271,0.85546875
hTME16-1_05_xyz-4502-5181-297,hTME16-1,WT,D1,CPi,82.2581,71.3237,6,110.43,36369.4,103.268,1.03693,137.946,1891.27,24,52,4,28,0.487103,49847.9,152.692,133.117,1.39067,109.754,113.509,81.0958,84.3519,30.25785912,36.36480769,11.99947617,13.43666667,45.90790165,56.0175,0.775160676,4.638911121,0.786666667
hTME16-1_05_xyz-4631-8426-248,hTME16-1,WT,D2,CPi,52.2377,49.5967,3,94.46,39868.3,100.28,1.03811,165.64,2043.14,16,42,10,26,0.3125,46858.7,118.283,126.67,1.18523,137.192,138.196,105.188,97.129,40.38100988,48.64119048,15.19316122,16.488125,55.88122444,68.42769231,0.790243313,5.056532945,0.926020408
hTME16-1_05_xyz-4952-9619-244,hTME16-1,WT,D2,CPi,64.1396,71.926,6,103.71,55680.3,107.888,1.03315,145.186,2631.77,31,66,4,35,0.422776,76081.1,173.707,166.341,1.43124,119.079,117.582,93.8153,86.8608,33.67265281,39.87015152,13.84719296,15.23903226,51.23234582,61.68628571,0.717090905,3.485083809,0.815193572
hTME16-1_05_xyz-5154-13313-260,hTME16-1,WT,D2,CPi,56.8685,54.7051,7,83.95,37659.1,119.314,1.03415,169.151,2035.34,27,58,4,31,0.542328,50982.6,144.67,109.525,1.45732,121.699,124.207,94.3906,79.3363,29.781726,35.08724138,11.24000021,12.28185185,45.93097104,54.95,0.794665789,5.192007344,0.772268136
hTME16-1_05_xyz-5225-6257-68,hTME16-1,WT,D2,CPi,71.7424,57.4491,5,94.47,48839.5,118.178,1.03289,142.699,2488.63,27,65,11,38,0.268519,61658.7,162.972,117.15,1.38486,108.179,129.32,82.4286,81.9374,32.99396558,38.28153846,17.88758131,20.0062963,43.72744914,51.26657895,0.757153388,4.215346765,0.679375
hTME16-1_05_xyz-5469-10101-262,hTME16-1,WT,D1,CPi,62.6992,62.347,7,100.82,67364,115.202,1.03478,162.55,2811.57,30,64,4,34,0.418939,82028.7,141.739,153.17,1.26867,128.017,126.583,94.3253,90.6652,36.99410976,43.9259375,13.53617942,14.50966667,57.69228359,69.88147059,0.752576398,4.118573749,0.829475309
hTME16-1_05_xyz-5525-7069-240,hTME16-1,WT,D1,CPi,76.1611,66.1027,6,93.6,56705.9,107.815,1.03693,159.511,2633.2,27,61,7,34,0.3107,71046.9,130.224,122.992,1.224,118.839,126.226,84.3013,81.8839,35.72648387,43.16213115,13.33128295,14.27296296,53.51090813,66.10352941,0.751778178,4.102102607,0.829475309
hTME16-1_05_xyz-5666-10983-259,hTME16-1,WT,D2,CPi,58.6215,61.9657,6,99.38,44641,94.9714,1.03206,147.81,2413.62,28,62,6,34,0.418537,55880.6,114.956,131.661,1.29286,125.158,129.096,85.8313,90.0075,33.20042219,38.92403226,11.36237591,12.1,51.1846956,61.01441176,0.779164991,4.743597011,0.901234568
