"file_path","Box","Brain","Type","Striatal.Subregion","Sex","Bif_ampl_local","Bif_ampl_remote","Branch_Order","Depth","Sum_EucDistance","Max_EucDistance","Fractal_Dim","Height","Length","N_bifs","N_branch","N_stems","N_tips","Partition_asymmetry","Sum_PathDistance","Max_PathDistance","Width","Terminal_degree","Bif_tilt_local","Bif_tilt_remote","Bif_torque_local","Bif_torque_remote","ABEL_All","BAPL_All","ABEL_Internal","BAPL_Internal","ABEL_Terminal","BAPL_Terminal","Balancing_Factor","Centripetal_Bias","Convexity","Cluster","x","y","z","CP box"
"909_TME07-1_30x_Str_05A_xyz-7216-11476-376","3846","TME07-1","D1","CPi","Male",67.1550118208335,74.5905288762171,5.02818589527019,148.091284749134,115629.20828117,125.2660838588,1.03168510808844,185.439276490019,4404.73830232492,38.007999576031,84.0189830232586,8.0029838711967,46.0109834472277,0.339013564099998,148124.585670557,250.300135491695,163.945955485099,1.20569697697792,127.765374576954,122.062764936627,82.9656053160793,76.7009313030139,43.1417524960716,52.1533117638194,14.7344246236727,15.5755879467895,66.8706938009457,82.6701982216952,0.728051768291797,3.60048784439287,0.78693221726527,6,1250,2750,750,78
"910_TME07-1_30x_Str_05A_xyz-7243-14194-61","3844","TME07-1","D2","CPc","Male",80.7158118208335,78.3713288762171,7.02818589527019,94.1212847491343,69799.80828117,118.0170838588,1.02827510808844,168.788276490019,3010.59830232492,31.007999576031,71.0189830232586,9.0029838711967,40.0109834472277,0.515139564099998,86404.8856705572,142.874135491695,147.633955485099,1.27262697697792,115.703374576954,116.803764936627,79.9578053160793,85.9230313030139,36.0414676060716,41.7681297238194,14.5303402036727,15.5204618167895,52.9963477809457,62.4482495016952,0.757259431291797,4.16745143739287,0.81097775726527,3,250,2750,750,76
"912_TME07-1_30x_Str_05A_xyz-7278-9337-219","3847","TME07-1","D1","CPc","Male",73.0862118208335,79.6130288762171,5.02818589527019,151.531284749134,64787.50828117,144.4120838588,1.03070510808844,166.647276490019,2616.29830232492,21.007999576031,49.0189830232586,7.0029838711967,28.0109834472277,0.445139564099998,81904.9856705571,222.168135491695,138.773955485099,1.23828697697792,121.925374576954,109.651764936627,104.204805316079,104.715231303014,45.8699398360716,52.9144171138194,22.2571869936727,24.0711284867895,63.7881108609457,74.7950871116952,0.747661237291797,3.96489161539287,0.85627453026527,4,1750,2750,750,79
"913_TME07-1_30x_Str_05A_xyz-7307-7414-330","3847","TME07-1","D1","CPi","Male",72.2210118208335,60.1452288762171,5.02818589527019,70.4312847491342,34929.40828117,136.4140838588,1.03150510808844,204.699276490019,1441.06830232492,14.007999576031,31.0189830232586,3.0029838711967,17.0109834472277,0.381622564099998,44147.1856705572,179.176135491695,121.246955485099,1.36545697697792,120.844374576954,129.214764936627,71.8827053160793,87.8140313030139,40.0144927060716,45.2135220238194,23.2460833836727,25.3584361767895,54.0172450809457,61.7964065516952,0.766159035291797,4.37202011239287,0.91990395426527,4,1750,2750,750,79
"914_TME07-1_30x_Str_05A_xyz-7431-9157-260","3847","TME07-1","D2","CPc","Male",62.1224118208334,67.6936288762171,4.02818589527019,152.661284749134,67707.90828117,157.8310838588,1.02956510808844,201.658276490019,2647.04830232492,19.007999576031,43.0189830232586,5.0029838711967,24.0109834472277,0.257731564099998,85277.5856705572,221.142135491695,153.284955485099,1.14894697697792,129.067374576954,128.927764936627,97.2945053160793,86.4425313030139,52.2529509060716,61.4035556738194,14.2624213036727,14.8677951567895,82.3834268109457,98.3004011216952,0.768448966291797,4.42752085039287,0.89295086826527,4,1750,2750,750,79
"915_TME07-1_30x_Str_05A_xyz-7512-9092-52","3847","TME07-1","D2",NA,"Male",84.8553118208334,83.1217288762171,5.02818589527019,89.3412847491343,41366.60828117,191.6010838588,1.03937510808844,212.009276490019,1759.10830232492,16.007999576031,37.0189830232586,5.0029838711967,21.0109834472277,0.531805564099998,51690.6856705572,207.766135491695,105.066955485099,1.31993697697792,110.989374576954,117.162764936627,87.5240053160793,90.7146313030139,38.1288886760716,46.5532560138194,21.7817815136727,22.7814618167895,50.8101622709457,64.8890315516952,0.677437661291797,2.88501898539287,0.89271285126527,4,1750,2750,750,79
"916_TME07-1_30x_Str_05A_xyz-7560-14798-408","4060","TME07-1","D2","CPi","Male",76.1723118208335,70.5278288762171,5.02818589527019,106.921284749134,67426.60828117,130.6490838588,1.02704510808844,194.889276490019,2812.21830232492,28.007999576031,60.0189830232586,4.0029838711967,32.0109834472277,0.402176564099998,85411.1856705572,161.733135491695,132.915955485099,1.26816697697791,117.263374576954,123.625764936627,90.8394053160793,94.4047313030139,40.1122839360716,46.2635220238194,14.4023041936727,15.2846470067895,62.8434867509457,73.6430799416952,0.726998508291797,3.58256712939287,0.84863571626527,6,250,2250,1250,114
"918_TME07-1_30x_Str_05A_xyz-7900-9520-134","3828","TME07-1","D1","CPc","Male",64.4059118208335,71.8753288762172,4.02818589527019,119.321284749134,47789.80828117,152.5760838588,1.05366510808844,189.629276490019,1775.08830232492,14.007999576031,31.0189830232586,3.0029838711967,17.0109834472277,0.383087564099998,60973.3856705572,202.053135491695,163.182955485099,1.25622697697792,117.439374576954,126.188764936627,92.1893053160793,87.3682313030139,43.7823239460716,56.7307634038194,24.0817530636727,26.4222823367895,60.1674575909457,81.8070315516952,0.687158376291797,3.00253498639287,0.90755827526527,3,1250,2250,750,85
"920_TME07-1_30x_Str_05A_xyz-7983-8943-359","3829","TME07-1","D1","CPi","Male",79.7164118208335,66.5314288762171,3.02818589527019,75.5612847491343,32621.80828117,145.4760838588,1.02580510808844,180.909276490019,1238.89830232492,9.00799957603097,21.0189830232586,3.0029838711967,12.0109834472277,0.373472564099998,40022.3856705572,196.406135491695,194.355955485099,1.17312697697792,115.939374576954,126.693764936627,115.009805316079,79.3520313030139,50.3093388960716,58.3527597738194,13.1788312236727,14.6748784867895,77.7497507709457,90.6458951916952,0.835026767291797,6.82475064739288,0.88772483226527,7,1750,2250,750,86
"922_TME07-1_30x_Str_05A_xyz-8143-9704-53","3828","TME07-1","D2","CPc","Male",80.4106118208335,78.6496288762172,8.02818589527019,79.4512847491343,33310.70828117,96.8578838587995,1.03434510808844,151.269276490019,1732.23830232492,21.007999576031,46.0189830232586,4.0029838711967,25.0109834472277,0.572617564099998,45822.1856705572,163.475135491695,114.704955485099,1.35027697697792,111.889374576954,117.733764936627,85.8041053160793,93.9874313030139,31.1302811060716,36.4285612138194,12.1388818436727,13.7171284867895,47.3206924809457,55.7866148816952,0.736195001291797,3.74445601639287,0.91731063126527,3,1250,2250,750,85
"923_TME07-1_30x_Str_05A_xyz-8210-12053-379","3827","TME07-1","D1","CPi","Male",79.4772118208334,73.8481288762171,5.02818589527019,121.681284749134,130059.20828117,160.3970838588,1.03263510808844,219.229276490019,4551.16830232492,38.007999576031,84.0189830232586,8.0029838711967,46.0109834472277,0.328330564099998,163069.585670557,186.829135491695,164.895955485099,1.20043697697792,114.527374576954,121.642764936627,92.6984053160793,91.7458313030139,45.7279944460716,53.9384337138194,14.3005922836727,15.1055879467895,71.9401079309457,86.3095315516952,0.743722393291797,3.88667563639287,0.74302094526527,6,750,2250,750,84
"924_TME07-1_30x_Str_05A_xyz-8252-10432-398","4062","TME07-1","D1","CPi","Male",83.8645118208335,67.1587288762172,5.02818589527019,99.8812847491343,73571.60828117,130.6160838588,1.02367510808844,184.488276490019,3222.80830232492,33.007999576031,73.0189830232586,7.0029838711967,40.0109834472277,0.386418564099998,91709.4856705572,152.690135491695,177.216955485099,1.30462697697792,112.129374576954,126.965764936627,84.3336053160793,86.1780313030139,37.9135461460716,43.5811956538194,15.2724298036727,16.0792534867895,56.8638404509457,66.5903007816952,0.763431235291797,4.30748013639287,0.74613540126527,1,1250,2250,1250,116
"926_TME07-1_30x_Str_05A_xyz-8333-8985-82","3829","TME07-1","D1","CPc","Male",74.1786118208335,63.7375288762171,4.02818589527019,110.701284749134,64972.40828117,168.9830838588,1.01928510808844,237.769276490019,1820.67830232492,13.007999576031,31.0189830232586,5.0029838711967,18.0109834472277,0.456805564099998,74534.4856705572,188.729135491695,200.245955485099,1.15311697697792,120.003374576954,129.264764936627,78.0752053160793,71.5300313030139,52.8880607460716,58.3028323738194,18.3183785736727,19.5861284867895,77.7411491009457,86.1789433116952,0.852540028291797,7.87232561739287,0.82563563326527,7,1750,2250,750,86
"927_TME07-1_30x_Str_05A_xyz-8468-10852-268","3828","TME07-1","D1","CPc","Male",65.9864118208335,72.8938288762171,5.02818589527019,169.101284749134,91946.10828117,162.2760838588,1.03144510808844,232.658276490019,3344.13830232492,23.007999576031,53.0189830232586,7.0029838711967,30.0109834472277,0.418927564099998,111229.585670557,193.256135491695,179.303955485099,1.18100697697792,125.335374576954,124.145764936627,88.8411053160793,82.2755313030139,54.5266255460716,63.0381467738194,17.5925407436727,18.3043103067895,82.9606643609457,97.4733246516952,0.775864830291797,4.61603408539287,0.79723723626527,3,1250,2250,750,85
"928_TME07-1_30x_Str_05A_xyz-8497-11694-186","3827","TME07-1","D2","CPc","Male",84.3030118208334,85.4119288762171,4.02818589527019,140.021284749134,81048.10828117,146.7530838588,1.03140510808844,230.429276490019,3189.87830232492,24.007999576031,53.0189830232586,5.0029838711967,29.0109834472277,0.363689564099998,101822.685670557,176.840135491695,178.406955485099,1.14688697697792,119.223374576954,122.708764936627,83.4421053160793,83.0138313030139,50.2468242860716,60.0138330538194,12.5180373036727,12.9330850067895,81.6106729009457,99.1298886916952,0.717622212291797,3.42959864639287,0.86459531226527,6,750,2250,750,84
"929_TME07-1_30x_Str_05A_xyz-8673-11327-344","3828","TME07-1","D1","CPi","Male",61.0890118208334,59.3577288762172,4.02818589527019,178.551284749134,119070.20828117,168.0350838588,1.03264510808844,214.839276490019,3878.93830232492,29.007999576031,65.0189830232586,7.0029838711967,36.0109834472277,0.260717564099998,141717.585670557,186.665135491695,184.487955485099,1.18485697697791,133.969374576954,132.400764936627,92.7057053160793,102.959231303014,50.9068874460716,59.5257004638194,16.4332837036727,18.2954141967895,78.8726949309457,92.9718172616952,0.793282143291797,5.11913472439287,0.81680536026527,3,1250,2250,750,85
"930_TME07-1_30x_Str_05A_xyz-8697-15318-353","3826","TME07-1","D2","CPi","Male",58.0303118208335,70.2158288762171,5.02818589527019,115.361284749134,106412.20828117,137.5920838588,1.02802510808844,198.679276490019,3572.04830232492,30.007999576031,65.0189830232586,5.0029838711967,35.0109834472277,0.335463564099998,127887.585670557,158.057135491695,178.496955485099,1.19907697697792,134.776374576954,124.645764936627,90.5011053160793,97.4381313030139,46.8144424060716,54.6547480838194,14.0706288636727,14.6706112467895,75.0938938909457,89.1730609616952,0.748626963291797,3.98448836239288,0.88363852226527,4,250,2250,750,83
"931_TME07-1_30x_Str_05A_xyz-8809-12920-189","3827","TME07-1","D2","CPc","Male",82.3547118208334,69.6379288762171,4.02818589527019,102.731284749134,86596.30828117,147.1080838588,1.02830510808844,199.679276490019,3098.61830232492,24.007999576031,54.0189830232586,6.0029838711967,30.0109834472277,0.400646564099998,109174.585670557,193.021135491695,163.645955485099,1.22065697697791,114.525374576954,120.260764936627,79.0018053160793,88.1609313030139,48.4062332760716,57.1060087638194,19.5991483736727,20.9339545767895,71.6448483709457,86.2622901716952,0.758623784291797,4.19771476739287,0.82741413526527,6,750,2250,750,84
"932_TME07-1_30x_Str_05A_xyz-8811-10493-230","3828","TME07-1","D1","CPc","Male",74.2226118208334,68.2520288762172,6.02818589527019,101.001284749134,77247.90828117,175.5640838588,1.03001510808844,270.149276490019,2497.34830232492,19.007999576031,43.0189830232586,5.0029838711967,24.0109834472277,0.565139564099998,91127.2856705572,199.485135491695,165.514955485099,1.23396697697792,118.539374576954,127.821764936627,81.8207053160793,75.4106313030139,49.1833334760716,57.7528239638194,20.2288812736727,21.2172395967895,72.2420966309457,86.8234445916952,0.760191986291797,4.23297763039287,0.84335086826527,3,1250,2250,750,85
"933_TME07-1_30x_Str_05A_xyz-8893-10958-352","3828","TME07-1","D1","CPi","Male",53.4035118208335,65.0220288762171,4.02818589527019,185.721284749134,112085.20828117,157.6870838588,1.02566510808844,225.637276490019,3656.35830232492,24.007999576031,56.0189830232586,8.0029838711967,32.0109834472277,0.429528564099998,132963.585670557,213.612135491695,196.369955485099,1.16998697697791,139.322374576954,128.470764936627,90.9680053160793,92.1811313030139,56.5777341660716,65.3193777138194,18.0729272436727,18.7378676167895,85.5722468509457,100.394047681695,0.792054882291797,5.08056791039287,0.82476060226527,3,1250,2250,750,85
"934_TME07-1_30x_Str_05A_xyz-8906-16957-275","3825","TME07-1","D1","CPc","Male",71.6323118208335,56.7426288762171,7.02818589527019,128.471284749134,108432.20828117,137.4090838588,1.02995510808844,227.098276490019,3438.11830232492,31.007999576031,66.0189830232586,4.0029838711967,35.0109834472277,0.411911564099998,132271.585670557,173.746135491695,171.964955485099,1.27406697697791,117.582374576954,129.857764936627,92.0050053160793,100.618231303014,44.0055643960716,51.7086890538194,16.4713227736727,17.1264618167895,68.6313770809457,82.6101197916952,0.754398665291797,4.10521907639287,0.86589160926527,6,-250,2250,750,82
